item_id,item_name,seller_name,cost,no_seller,no_customer_reviews,product_rating
6276,New Best 2 in 1 Jesus Holy Family Plate Statue Wall Hanging Handmade Carved Handicraft Marble Home Decor Art From...,TRUSTED SELLER1 offerfrom ,600,1,0,0
6277,Shadow Buddha Ji Tea Light Holder + One Free Tealight Candle ,MHby Moradabad Handicrafts,160,7,0,0
6278,"Artshai brass Magnetic Compass with Leather Case, Antique style",Artshai,425,5,16,3.9
6279,Ecoleatherette Magnetic Frame Fridge Magnet set of 6 assorted colour frames,Ecoleatherette,495,1,6,4.5
6280,Handicraft Pitara Hand Embroidered Bengali Kantha Pure Cotton Unstitched Long Kurti,Handicraft Pitara1 offerfrom ,"1,295",1,0,0
6281,Handicraft Pitara Kantha saree on Pure Bangalore Silk,Handicraft Pitara1 offerfrom ,"8,999",1,0,0
6282,Handicraft Pitara Hand Embroidered Bengali Kantha Work Long Unstitched Kurti (Heavy Work),Handicraft Pitara1 offerfrom ,"1,295",1,0,0
6283,Hazel Sizzler Plate / Tray with Wodden Base Racket S15x7,HAZEL,675,1,7,3.1
6284,Home Temple / Wooden Temple/ Pooja Mandir / Pooja Temple,Jodhpur Handicrafts,"2,649",1,0,0
6285,Decor Set of 2 - Handmade Indian Puja Brass Incense Holder Lamp - Dia - 3 inches,RoyaltyLane,220,1,0,0
6286,Kapasi Handicrafts Cow on Plate Brass Show Piece (4 x 2 x 3.75 Inches),"Kapasi Handicrafts, From India since 1973",934,1,0,0
6287,Pindia Hand Crafted Brass Wash Basin Replica,Pindia,249.50  998,1,0,0
